Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1998-02-26,24,24,24,24
1998-04-23,23,23,23,23
1998-05-21,21.5,21.5,21.5,21.5
1998-07-17,19,19,19,19
1998-09-10,18,18,18,18
1998-10-29,17,17,17,17
1998-12-10,15.5,15.5,15.5,15.5
1999-01-21,13,13,13,13
1999-09-23,14,14,14,14
1999-11-18,16.5,16.5,16.5,16.5
2000-02-24,17.5,17.5,17.5,17.5
2000-08-31,19,19,19,19
2001-03-01,18,18,18,18
2001-03-29,17,17,17,17
2001-06-28,15.5,15.5,15.5,15.5
2001-08-23,14.5,14.5,14.5,14.5
2001-10-26,13,13,13,13
2001-11-29,11.5,11.5,11.5,11.5
2001-12-01,11.5,11.5,11.5,11.5
2002-01-31,10,10,10,10
2002-04-26,9.5,9.5,9.5,9.5
2002-05-30,9,9,9,9
2002-06-27,8.5,8.5,8.5,8.5
2002-08-29,8,8,8,8
2002-09-26,7.5,7.5,7.5,7.5
2002-10-24,7,7,7,7
2002-11-28,6.75,6.75,6.75,6.75
2003-01-30,6.5,6.5,6.5,6.5
2003-02-27,6.25,6.25,6.25,6.25
2003-03-27,6,6,6,6
2003-04-25,5.75,5.75,5.75,5.75
2003-05-29,5.5,5.5,5.5,5.5
2003-06-26,5.25,5.25,5.25,5.25
2004-07-01,5.75,5.75,5.75,5.75
2004-07-29,6,6,6,6
2004-08-26,6.5,6.5,6.5,6.5
2005-03-31,6,6,6,6
2005-04-28,5.5,5.5,5.5,5.5
2005-06-30,5,5,5,5
2005-07-28,4.75,4.75,4.75,4.75
2005-09-01,4.5,4.5,4.5,4.5
2006-02-01,4.25,4.25,4.25,4.25
2006-03-01,4,4,4,4
2007-04-26,4.25,4.25,4.25,4.25
2007-06-28,4.5,4.5,4.5,4.5
2007-08-30,4.75,4.75,4.75,4.75
2007-11-29,5,5,5,5
2008-01-31,5.25,5.25,5.25,5.25
2008-02-28,5.5,5.5,5.5,5.5
2008-03-27,5.75,5.75,5.75,5.75
2008-06-26,6,6,6,6
2008-11-27,5.75,5.75,5.75,5.75
2008-12-24,5,5,5,5
2009-01-28,4.25,4.25,4.25,4.25
2009-02-26,4,4,4,4
2009-03-26,3.75,3.75,3.75,3.75
2009-06-25,3.5,3.5,3.5,3.5
2010-01-01,3.5,3.5,3.5,3.5
2010-06-30,3.5,3.5,3.5,3.5
2010-08-24,3.5,3.5,3.5,3.5
2010-09-29,3.5,3.5,3.5,3.5
2010-11-23,3.5,3.5,3.5,3.5
2010-12-22,3.5,3.5,3.5,3.5
2011-01-19,3.75,3.75,3.75,3.75
2011-03-02,3.75,3.75,3.75,3.75
2011-04-05,4,4,4,4
2011-05-11,4.25,4.25,4.25,4.25
2011-06-08,4.5,4.5,4.5,4.5
2011-07-06,4.5,4.5,4.5,4.5
2011-09-07,4.5,4.5,4.5,4.5
2011-10-05,4.5,4.5,4.5,4.5
2011-11-09,4.5,4.5,4.5,4.5
2011-12-07,4.5,4.5,4.5,4.5
2012-01-11,4.5,4.5,4.5,4.5
2012-02-08,4.5,4.5,4.5,4.5
2012-03-07,4.5,4.5,4.5,4.5
2012-04-04,4.5,4.5,4.5,4.5
2012-05-09,4.75,4.75,4.75,4.75
2012-06-06,4.75,4.75,4.75,4.75
2012-07-04,4.75,4.75,4.75,4.75
2012-09-05,4.75,4.75,4.75,4.75
2012-10-03,4.75,4.75,4.75,4.75
2012-11-07,4.5,4.5,4.5,4.5
2012-12-05,4.25,4.25,4.25,4.25
2013-01-09,4,4,4,4
2013-02-06,3.75,3.75,3.75,3.75
2013-03-06,3.25,3.25,3.25,3.25
2013-04-10,3.25,3.25,3.25,3.25
2013-05-08,3,3,3,3
2013-06-05,2.75,2.75,2.75,2.75
2013-07-03,2.5,2.5,2.5,2.5
2013-09-04,2.5,2.5,2.5,2.5
2013-10-02,2.5,2.5,2.5,2.5
2013-11-06,2.5,2.5,2.5,2.5
2013-12-04,2.5,2.5,2.5,2.5
2014-01-08,2.5,2.5,2.5,2.5
2014-02-05,2.5,2.5,2.5,2.5
2014-03-05,2.5,2.5,2.5,2.5
2014-04-09,2.5,2.5,2.5,2.5
2014-05-07,2.5,2.5,2.5,2.5
2014-06-03,2.5,2.5,2.5,2.5
2014-07-02,2.5,2.5,2.5,2.5
2014-09-03,2.5,2.5,2.5,2.5
2014-10-08,2,2,2,2
2014-11-05,2,2,2,2
2014-12-03,2,2,2,2
2015-01-14,2,2,2,2
2015-02-04,2,2,2,2
2015-03-04,1.5,1.5,1.5,1.5
2015-04-15,1.5,1.5,1.5,1.5
2015-05-06,1.5,1.5,1.5,1.5
2015-06-03,1.5,1.5,1.5,1.5
2015-07-08,1.5,1.5,1.5,1.5
2015-09-02,1.5,1.5,1.5,1.5
2015-10-06,1.5,1.5,1.5,1.5
2015-11-04,1.5,1.5,1.5,1.5
2015-12-02,1.5,1.5,1.5,1.5
2016-01-14,1.5,1.5,1.5,1.5
2016-02-03,1.5,1.5,1.5,1.5
2016-03-11,1.5,1.5,1.5,1.5
2016-04-06,1.5,1.5,1.5,1.5
2016-05-06,1.5,1.5,1.5,1.5
2016-06-08,1.5,1.5,1.5,1.5
2016-07-06,1.5,1.5,1.5,1.5
2016-09-07,1.5,1.5,1.5,1.5
2016-10-05,1.5,1.5,1.5,1.5
2016-11-09,1.5,1.5,1.5,1.5
2016-12-07,1.5,1.5,1.5,1.5
2017-01-11,1.5,1.5,1.5,1.5
2017-02-08,1.5,1.5,1.5,1.5
2017-03-08,1.5,1.5,1.5,1.5
2017-04-05,1.5,1.5,1.5,1.5
2017-05-17,1.5,1.5,1.5,1.5
2017-06-07,1.5,1.5,1.5,1.5
2017-07-05,1.5,1.5,1.5,1.5
2017-09-06,1.5,1.5,1.5,1.5
2017-10-04,1.5,1.5,1.5,1.5
2017-11-08,1.5,1.5,1.5,1.5
2017-12-05,1.5,1.5,1.5,1.5
2018-01-10,1.5,1.5,1.5,1.5
2018-02-07,1.5,1.5,1.5,1.5
2018-03-07,1.5,1.5,1.5,1.5
2018-04-11,1.5,1.5,1.5,1.5
2018-05-16,1.5,1.5,1.5,1.5
2018-06-06,1.5,1.5,1.5,1.5
2018-07-11,1.5,1.5,1.5,1.5
2018-09-05,1.5,1.5,1.5,1.5
2018-10-03,1.5,1.5,1.5,1.5
2018-11-07,1.5,1.5,1.5,1.5
2018-12-05,1.5,1.5,1.5,1.5
2019-01-09,1.5,1.5,1.5,1.5
2019-02-06,1.5,1.5,1.5,1.5
2019-03-06,1.5,1.5,1.5,1.5
2019-04-03,1.5,1.5,1.5,1.5
